StartOrder;WS01;OR03326;
AssignProduct;WS01;P00206;
PickOrder;WS01;OR09248;P00206;
StartOrder;WS01;OR02640;
PickOrder;WS01;OR02640;P00206;
PickOrder;WS01;OR02640;P00206;
PickOrder;WS01;OR02640;P00206;
StartOrder;WS01;OR05560;
PickOrder;WS01;OR05560;P00206;
PickOrder;WS01;OR05560;P00206;
PickOrder;WS01;OR05560;P00206;
PickOrder;WS01;OR05560;P00206;
PickOrder;WS01;OR05560;P00206;
StartOrder;WS01;OR01227;
PickOrder;WS01;OR01227;P00206;
PickOrder;WS01;OR01227;P00206;
StartOrder;WS01;OR05234;
PickOrder;WS01;OR05234;P00206;
StartOrder;WS01;OR05250;
PickOrder;WS01;OR05250;P00206;
PickOrder;WS01;OR05250;P00206;
PickOrder;WS01;OR05250;P00206;
PickOrder;WS01;OR05250;P00206;
PickOrder;WS01;OR05250;P00206;
PickOrder;WS01;OR05250;P00206;
StartOrder;WS01;OR02482;
PickOrder;WS01;OR02482;P00206;
PickOrder;WS01;OR02482;P00206;
StartOrder;WS01;OR07383;
PickOrder;WS01;OR07383;P00206;
PickOrder;WS01;OR07383;P00206;
PickOrder;WS01;OR07383;P00206;
StartOrder;WS01;OR03619;
PickOrder;WS01;OR03619;P00206;
PickOrder;WS01;OR03619;P00206;
StartOrder;WS01;OR08801;
PickOrder;WS01;OR08801;P00206;
PickOrder;WS01;OR08801;P00206;
PickOrder;WS01;OR08801;P00206;
PickOrder;WS01;OR08801;P00206;
PickOrder;WS01;OR08801;P00206;
PickOrder;WS01;OR08801;P00206;
StartOrder;WS01;OR07127;
PickOrder;WS01;OR07127;P00206;
PickOrder;WS01;OR07127;P00206;
PickOrder;WS01;OR07127;P00206;
StartOrder;WS01;OR05456;
PickOrder;WS01;OR05456;P00206;
PickOrder;WS01;OR05456;P00206;
StartOrder;WS01;OR08922;
PickOrder;WS01;OR08922;P00206;
PickOrder;WS01;OR08922;P00206;
StartOrder;WS01;OR01665;
PickOrder;WS01;OR01665;P00206;
PickOrder;WS01;OR01665;P00206;
PickOrder;WS01;OR01665;P00206;
PickOrder;WS01;OR01665;P00206;
PickOrder;WS01;OR01665;P00206;
StartOrder;WS01;OR09494;
PickOrder;WS01;OR09494;P00206;
PickOrder;WS01;OR09494;P00206;
PickOrder;WS01;OR09494;P00206;
StartOrder;WS01;OR04169;
PickOrder;WS01;OR04169;P00206;
StartOrder;WS01;OR07347;
PickOrder;WS01;OR07347;P00206;
PickOrder;WS01;OR07347;P00206;
StartOrder;WS01;OR02396;
PickOrder;WS01;OR02396;P00206;
StartOrder;WS01;OR09623;
PickOrder;WS01;OR09623;P00206;
PickOrder;WS01;OR09623;P00206;
PickOrder;WS01;OR09623;P00206;
StartOrder;WS01;OR02470;
PickOrder;WS01;OR02470;P00206;
StartOrder;WS01;OR04008;
PickOrder;WS01;OR04008;P00206;
PickOrder;WS01;OR04008;P00206;
StartOrder;WS01;OR09776;
PickOrder;WS01;OR09776;P00206;
PickOrder;WS01;OR09776;P00206;
PickOrder;WS01;OR09776;P00206;
StartOrder;WS01;OR06503;
PickOrder;WS01;OR06503;P00206;
PickOrder;WS01;OR06503;P00206;
StartOrder;WS01;OR01626;
PickOrder;WS01;OR01626;P00206;
StartOrder;WS01;OR06824;
PickOrder;WS01;OR06824;P00206;
PickOrder;WS01;OR06824;P00206;
PickOrder;WS01;OR06824;P00206;
StartOrder;WS01;OR02438;
PickOrder;WS01;OR02438;P00206;
PickOrder;WS01;OR02438;P00206;
StartOrder;WS01;OR08025;
PickOrder;WS01;OR08025;P00206;
PickOrder;WS01;OR08025;P00206;
StartOrder;WS01;OR04031;
PickOrder;WS01;OR04031;P00206;
PickOrder;WS01;OR04031;P00206;
PickOrder;WS01;OR04031;P00206;
StartOrder;WS01;OR08792;
PickOrder;WS01;OR08792;P00206;
PickOrder;WS01;OR08792;P00206;
PickOrder;WS01;OR08792;P00206;
PickOrder;WS01;OR08792;P00206;
PickOrder;WS01;OR08792;P00206;
PickOrder;WS01;OR08792;P00206;
PickOrder;WS01;OR08792;P00206;
StartOrder;WS01;OR07597;
PickOrder;WS01;OR07597;P00206;
PickOrder;WS01;OR07597;P00206;
PickOrder;WS01;OR07597;P00206;
StartOrder;WS01;OR08370;
PickOrder;WS01;OR08370;P00206;
PickOrder;WS01;OR08370;P00206;
PickOrder;WS01;OR08370;P00206;
StartOrder;WS01;OR08353;
PickOrder;WS01;OR08353;P00206;
PickOrder;WS01;OR08353;P00206;
PickOrder;WS01;OR08353;P00206;
StartOrder;WS01;OR07720;
PickOrder;WS01;OR07720;P00206;
PickOrder;WS01;OR07720;P00206;
PickOrder;WS01;OR07720;P00206;
PickOrder;WS01;OR07720;P00206;
PickOrder;WS01;OR07720;P00206;
StartOrder;WS01;OR09239;
PickOrder;WS01;OR09239;P00206;
PickOrder;WS01;OR09239;P00206;
StartOrder;WS01;OR03003;
PickOrder;WS01;OR03003;P00206;
StartOrder;WS01;OR06188;
PickOrder;WS01;OR06188;P00206;
PickOrder;WS01;OR06188;P00206;
StartOrder;WS01;OR08450;
PickOrder;WS01;OR08450;P00206;
PickOrder;WS01;OR08450;P00206;
PickOrder;WS01;OR08450;P00206;
PickOrder;WS01;OR08450;P00206;
PickOrder;WS01;OR08450;P00206;
StartOrder;WS01;OR08138;
PickOrder;WS01;OR08138;P00206;
PickOrder;WS01;OR08138;P00206;
PickOrder;WS01;OR08138;P00206;
StartOrder;WS01;OR04504;
PickOrder;WS01;OR04504;P00206;
PickOrder;WS01;OR04504;P00206;
PickOrder;WS01;OR04504;P00206;
StartOrder;WS01;OR05526;
PickOrder;WS01;OR05526;P00206;
StartOrder;WS01;OR07649;
PickOrder;WS01;OR07649;P00206;
PickOrder;WS01;OR07649;P00206;
PickOrder;WS01;OR07649;P00206;
PickOrder;WS01;OR07649;P00206;
PickOrder;WS01;OR07649;P00206;
PickOrder;WS01;OR07649;P00206;
PickOrder;WS01;OR07649;P00206;
StartOrder;WS01;OR02520;
PickOrder;WS01;OR02520;P00206;
PickOrder;WS01;OR02520;P00206;
StartOrder;WS01;OR07528;
PickOrder;WS01;OR07528;P00206;
PickOrder;WS01;OR07528;P00206;
StartOrder;WS01;OR02772;
PickOrder;WS01;OR02772;P00206;
StartOrder;WS01;OR02279;
PickOrder;WS01;OR02279;P00206;
StartOrder;WS01;OR04491;
PickOrder;WS01;OR04491;P00206;
PickOrder;WS01;OR04491;P00206;
PickOrder;WS01;OR04491;P00206;
PickOrder;WS01;OR04491;P00206;
StartOrder;WS01;OR02918;
PickOrder;WS01;OR02918;P00206;
PickOrder;WS01;OR02918;P00206;
PickOrder;WS01;OR02918;P00206;
PickOrder;WS01;OR02918;P00206;
StartOrder;WS01;OR03082;
PickOrder;WS01;OR03082;P00206;
PickOrder;WS01;OR03082;P00206;
PickOrder;WS01;OR03082;P00206;
StartOrder;WS01;OR06621;
PickOrder;WS01;OR06621;P00206;
PickOrder;WS01;OR06621;P00206;
PickOrder;WS01;OR06621;P00206;
StartOrder;WS01;OR03662;
PickOrder;WS01;OR03662;P00206;
PickOrder;WS01;OR03662;P00206;
PickOrder;WS01;OR03662;P00206;
PickOrder;WS01;OR03662;P00206;
StartOrder;WS01;OR07288;
PickOrder;WS01;OR07288;P00206;
PickOrder;WS01;OR07288;P00206;
StartOrder;WS01;OR06359;
PickOrder;WS01;OR06359;P00206;
PickOrder;WS01;OR06359;P00206;
StartOrder;WS01;OR05235;
PickOrder;WS01;OR05235;P00206;
PickOrder;WS01;OR05235;P00206;
PickOrder;WS01;OR05235;P00206;
PickOrder;WS01;OR05235;P00206;
PickOrder;WS01;OR05235;P00206;
StartOrder;WS01;OR06952;
PickOrder;WS01;OR06952;P00206;
PickOrder;WS01;OR06952;P00206;
StartOrder;WS01;OR02107;
PickOrder;WS01;OR02107;P00206;
PickOrder;WS01;OR02107;P00206;
PickOrder;WS01;OR02107;P00206;
StartOrder;WS01;OR05896;
PickOrder;WS01;OR05896;P00206;
PickOrder;WS01;OR05896;P00206;
StartOrder;WS01;OR02554;
PickOrder;WS01;OR02554;P00206;
StartOrder;WS01;OR01240;
PickOrder;WS01;OR01240;P00206;
PickOrder;WS01;OR01240;P00206;
StartOrder;WS01;OR02021;
PickOrder;WS01;OR02021;P00206;
PickOrder;WS01;OR02021;P00206;
PickOrder;WS01;OR02021;P00206;
StartOrder;WS01;OR01211;
PickOrder;WS01;OR01211;P00206;
StartOrder;WS01;OR03719;
PickOrder;WS01;OR03719;P00206;
PickOrder;WS01;OR03719;P00206;
StartOrder;WS01;OR05435;
PickOrder;WS01;OR05435;P00206;
StartOrder;WS01;OR02358;
PickOrder;WS01;OR02358;P00206;
PickOrder;WS01;OR02358;P00206;
StartOrder;WS01;OR09802;
PickOrder;WS01;OR09802;P00206;
StartOrder;WS01;OR04542;
PickOrder;WS01;OR04542;P00206;
PickOrder;WS01;OR04542;P00206;
PickOrder;WS01;OR04542;P00206;
PickOrder;WS01;OR04542;P00206;
PickOrder;WS01;OR04542;P00206;
StartOrder;WS01;OR03228;
PickOrder;WS01;OR03228;P00206;
PickOrder;WS01;OR03228;P00206;
PickOrder;WS01;OR03228;P00206;
StartOrder;WS01;OR00235;
PickOrder;WS01;OR00235;P00206;
PickOrder;WS01;OR00235;P00206;
PickOrder;WS01;OR00235;P00206;
StartOrder;WS01;OR01936;
PickOrder;WS01;OR01936;P00206;
PickOrder;WS01;OR01936;P00206;
StartOrder;WS01;OR07702;
PickOrder;WS01;OR07702;P00206;
PickOrder;WS01;OR07702;P00206;
StartOrder;WS01;OR04152;
PickOrder;WS01;OR04152;P00206;
StartOrder;WS01;OR08059;
PickOrder;WS01;OR08059;P00206;
PickOrder;WS01;OR08059;P00206;
StartOrder;WS01;OR00523;
PickOrder;WS01;OR00523;P00206;
PickOrder;WS01;OR00523;P00206;
StartOrder;WS01;OR05866;
PickOrder;WS01;OR05866;P00206;
PickOrder;WS01;OR05866;P00206;
PickOrder;WS01;OR05866;P00206;
PickOrder;WS01;OR05866;P00206;
StartOrder;WS01;OR05025;
PickOrder;WS01;OR05025;P00206;
StartOrder;WS01;OR00856;
PickOrder;WS01;OR00856;P00206;
PickOrder;WS01;OR00856;P00206;
PickOrder;WS01;OR00856;P00206;
PickOrder;WS01;OR00856;P00206;
StartOrder;WS01;OR03391;
PickOrder;WS01;OR03391;P00206;
StartOrder;WS01;OR08504;
PickOrder;WS01;OR08504;P00206;
PickOrder;WS01;OR08504;P00206;
PickOrder;WS01;OR08504;P00206;
StartOrder;WS01;OR01035;
PickOrder;WS01;OR01035;P00206;
PickOrder;WS01;OR01035;P00206;
PickOrder;WS01;OR01035;P00206;
StartOrder;WS01;OR07492;
PickOrder;WS01;OR07492;P00206;
PickOrder;WS01;OR07492;P00206;
PickOrder;WS01;OR07492;P00206;
StartOrder;WS01;OR03605;
PickOrder;WS01;OR03605;P00206;
StartOrder;WS01;OR09375;
PickOrder;WS01;OR09375;P00206;
StartOrder;WS01;OR09280;
PickOrder;WS01;OR09280;P00206;
PickOrder;WS01;OR09280;P00206;
StartOrder;WS01;OR08113;
PickOrder;WS01;OR08113;P00206;
PickOrder;WS01;OR08113;P00206;
PickOrder;WS01;OR08113;P00206;
StartOrder;WS01;OR05556;
PickOrder;WS01;OR05556;P00206;
PickOrder;WS01;OR05556;P00206;
PickOrder;WS01;OR05556;P00206;
StartOrder;WS01;OR01874;
PickOrder;WS01;OR01874;P00206;
PickOrder;WS01;OR01874;P00206;
StartOrder;WS01;OR05510;
PickOrder;WS01;OR05510;P00206;
PickOrder;WS01;OR05510;P00206;
PickOrder;WS01;OR05510;P00206;
StartOrder;WS01;OR05511;
PickOrder;WS01;OR05511;P00206;
StartOrder;WS01;OR09192;
PickOrder;WS01;OR09192;P00206;
PickOrder;WS01;OR09192;P00206;
PickOrder;WS01;OR09192;P00206;
StartOrder;WS01;OR07234;
PickOrder;WS01;OR07234;P00206;
StartOrder;WS01;OR05965;
PickOrder;WS01;OR05965;P00206;
PickOrder;WS01;OR05965;P00206;
PickOrder;WS01;OR05965;P00206;
PickOrder;WS01;OR05965;P00206;
StartOrder;WS01;OR07526;
PickOrder;WS01;OR07526;P00206;
PickOrder;WS01;OR07526;P00206;
StartOrder;WS01;OR06560;
PickOrder;WS01;OR06560;P00206;
StartOrder;WS01;OR05322;
PickOrder;WS01;OR05322;P00206;
PickOrder;WS01;OR05322;P00206;
PickOrder;WS01;OR05322;P00206;
StartOrder;WS01;OR08811;
PickOrder;WS01;OR08811;P00206;
PickOrder;WS01;OR08811;P00206;
StartOrder;WS01;OR04899;
PickOrder;WS01;OR04899;P00206;
PickOrder;WS01;OR04899;P00206;
PickOrder;WS01;OR04899;P00206;
PickOrder;WS01;OR04899;P00206;
PickOrder;WS01;OR04899;P00206;
StartOrder;WS01;OR08148;
PickOrder;WS01;OR08148;P00206;
PickOrder;WS01;OR08148;P00206;
StartOrder;WS01;OR00053;
PickOrder;WS01;OR00053;P00206;
PickOrder;WS01;OR00053;P00206;
PickOrder;WS01;OR00053;P00206;
PickOrder;WS01;OR00053;P00206;
StartOrder;WS01;OR04598;
PickOrder;WS01;OR04598;P00206;
PickOrder;WS01;OR04598;P00206;
PickOrder;WS01;OR04598;P00206;
PickOrder;WS01;OR04598;P00206;
StartOrder;WS01;OR00824;
PickOrder;WS01;OR00824;P00206;
PickOrder;WS01;OR00824;P00206;
PickOrder;WS01;OR00824;P00206;
PickOrder;WS01;OR00824;P00206;
StartOrder;WS01;OR01728;
PickOrder;WS01;OR01728;P00206;
PickOrder;WS01;OR01728;P00206;
StartOrder;WS01;OR02790;
PickOrder;WS01;OR02790;P00206;
PickOrder;WS01;OR02790;P00206;
StartOrder;WS01;OR06717;
PickOrder;WS01;OR06717;P00206;
PickOrder;WS01;OR06717;P00206;
StartOrder;WS01;OR08372;
PickOrder;WS01;OR08372;P00206;
StartOrder;WS01;OR03799;
PickOrder;WS01;OR03799;P00206;
StartOrder;WS01;OR03607;
PickOrder;WS01;OR03607;P00206;
PickOrder;WS01;OR03607;P00206;
PickOrder;WS01;OR03607;P00206;
PickOrder;WS01;OR03607;P00206;
StartOrder;WS01;OR05626;
PickOrder;WS01;OR05626;P00206;
PickOrder;WS01;OR05626;P00206;
PickOrder;WS01;OR05626;P00206;
StartOrder;WS01;OR05374;
PickOrder;WS01;OR05374;P00206;
StartOrder;WS01;OR05064;
PickOrder;WS01;OR05064;P00206;
PickOrder;WS01;OR05064;P00206;
PickOrder;WS01;OR05064;P00206;
StartOrder;WS01;OR02538;
PickOrder;WS01;OR02538;P00206;
PickOrder;WS01;OR02538;P00206;
PickOrder;WS01;OR02538;P00206;
PickOrder;WS01;OR02538;P00206;
PickOrder;WS01;OR02538;P00206;
StartOrder;WS01;OR07628;
PickOrder;WS01;OR07628;P00206;
PickOrder;WS01;OR07628;P00206;
StartOrder;WS01;OR00182;
PickOrder;WS01;OR00182;P00206;
PickOrder;WS01;OR00182;P00206;
PickOrder;WS01;OR00182;P00206;
PickOrder;WS01;OR00182;P00206;
PickOrder;WS01;OR00182;P00206;
PickOrder;WS01;OR00182;P00206;
PickOrder;WS01;OR00182;P00206;
PickOrder;WS01;OR00182;P00206;
StartOrder;WS01;OR00605;
PickOrder;WS01;OR00605;P00206;
PickOrder;WS01;OR00605;P00206;
PickOrder;WS01;OR00605;P00206;
StartOrder;WS01;OR06679;
PickOrder;WS01;OR06679;P00206;
PickOrder;WS01;OR06679;P00206;
StartOrder;WS01;OR07520;
PickOrder;WS01;OR07520;P00206;
PickOrder;WS01;OR07520;P00206;
StartOrder;WS01;OR00568;
PickOrder;WS01;OR00568;P00206;
PickOrder;WS01;OR00568;P00206;
PickOrder;WS01;OR00568;P00206;
StartOrder;WS01;OR05543;
PickOrder;WS01;OR05543;P00206;
StartOrder;WS01;OR05436;
PickOrder;WS01;OR05436;P00206;
PickOrder;WS01;OR05436;P00206;
PickOrder;WS01;OR05436;P00206;
PickOrder;WS01;OR05436;P00206;
PickOrder;WS01;OR05436;P00206;
StartOrder;WS01;OR07605;
PickOrder;WS01;OR07605;P00206;
PickOrder;WS01;OR07605;P00206;
StartOrder;WS01;OR04187;
PickOrder;WS01;OR04187;P00206;
PickOrder;WS01;OR04187;P00206;
StartOrder;WS01;OR02505;
PickOrder;WS01;OR02505;P00206;
PickOrder;WS01;OR02505;P00206;
StartOrder;WS01;OR02354;
PickOrder;WS01;OR02354;P00206;
PickOrder;WS01;OR02354;P00206;
StartOrder;WS01;OR01278;
PickOrder;WS01;OR01278;P00206;
PickOrder;WS01;OR01278;P00206;
PickOrder;WS01;OR01278;P00206;
StartOrder;WS01;OR07789;
PickOrder;WS01;OR07789;P00206;
PickOrder;WS01;OR07789;P00206;
PickOrder;WS01;OR07789;P00206;
PickOrder;WS01;OR07789;P00206;
StartOrder;WS01;OR00470;
PickOrder;WS01;OR00470;P00206;
